Start Node,Algorithm,Suggested Products,Time to Suggest
1,BFS,|481||33||8||18||445||6||34||176||2555||210|||,1.4049999713897705
1,DFS,|8||99||837||5||2954||55978||26032||51923||90331||2952|||,0.17412137985229492
1,RFS,|8||18||4656||6||3155||97||719||176||2555||210|||,0.970691442489624
201,BFS,|1825||899||8645||1389||1824||1930||6488||6578||2050||5056|||,0.25317955017089844
201,DFS,|9332||12615||8645||6578||5056||7568||6807||71989||38273||40572|||,0.13109612464904785
201,RFS,|1825||899||8645||1824||1389||1930||17160||6578||14770||5056|||,0.31221985816955566
401,BFS,|3513||6096||11615||10310||1355||29922||34788||10311||38273||19120|||,0.2922077178955078
401,DFS,|1355||29922||3064||726||69940||48174||70644||82957||26310||2987|||,0.1200857162475586
401,RFS,|10310||1355||18380||16514||10311||38273||18706||3064||726||34784|||,0.22916293144226074
601,BFS,|602||34791||831||99363||99361||49163||134720||832||833||99364|||,0.0
601,DFS,|34791||602||49163||99363||99361||134720||831||49164||141326||110230|||,0.0
601,RFS,|602||34791||99363||99361||831||49163||134720||99364||833||832|||,0.0010006427764892578
801,BFS,|6195||3820||17074||2021||6146||63884||2164||50064||11937||3027|||,0.252180814743042
801,DFS,|3820||21387||6146||38273||18489||43328||34748||21433||34784||4949|||,0.11307883262634277
801,RFS,|6195||3820||17074||2021||6146||32812||63884||2164||50064||3027|||,0.21415233612060547
1001,BFS,|4259||7979||6412||6658||4257||17160||8057||4787||5090||6441|||,0.439312219619751
1001,DFS,|9491||37386||72921||65133||65132||37586||15990||19869||42986||17950|||,0.11107635498046875
1001,RFS,|4259||7979||6658||4257||5090||2912||4997||5252||3794||2911|||,0.3122215270996094
1201,BFS,|2064||3895||983||889||3893||3407||5339||7162||1484||1818|||,0.4042840003967285
1201,DFS,|983||889||16639||1402||59894||35496||101792||52574||1549||40915|||,0.1000833511352539
1201,RFS,|8645||983||889||3407||6897||7162||1484||1818||11965||23216|||,0.2922053337097168
1401,BFS,|21316||2426||25056||41869||2518||4698||25055||12228||49075||78830|||,0.005002260208129883
1401,DFS,|21316||2426||41869||25056||2518||4698||25055||12228||78830||49075|||,0.007004499435424805
1401,RFS,|21316||2426||25056||41869||2518||4698||25055||12228||78830||49075|||,0.008005380630493164
1601,BFS,|3661||9253||4820||6412||4573||4821||6441||7951||16365||6439|||,0.3952794075012207
1601,DFS,|3661||4573||55292||1602||48668||86552||89632||83901||58963||99129|||,0.09807038307189941
1601,RFS,|3661||4820||4573||16365||4939||3077||5845||6440||9491||18656|||,0.2922096252441406
1801,BFS,|8381||11519||11994||11995||11993||19170||4424||67136||71203||44042|||,0.08505821228027344
1801,DFS,|8381||11519||11994||11995||11993||19170||4424||71203||67136||97433|||,0.07505321502685547
1801,RFS,|8381||11519||11994||11995||62888||11993||19170||41056||41060||4424|||,0.09806990623474121
2201,BFS,|21771||25661||34958||66987||71347||59700||18695||89708||84320||52914|||,0.14910578727722168
2201,DFS,|84320||18695||64173||3534||15456||20648||83901||122628||100660||75394|||,0.08706164360046387
2201,RFS,|21771||66987||71347||59700||84320||18695||43254||64173||76510||3534|||,0.1270904541015625
2401,BFS,|11528||5992||13790||23263||10234||52568||11154||17658||38858||33923|||,0.1391003131866455
2401,DFS,|5992||52568||11154||73916||65133||65132||17658||38858||33923||17788|||,0.09906864166259766
2401,RFS,|11528||5992||13790||23263||45614||10234||52568||11154||17658||38858|||,0.14310193061828613
2601,BFS,|2945||12873||24581||88366||1806||13022||17184||25140||62657||16924|||,0.03402256965637207
2601,DFS,|2945||24581||12873||88366||13022||1806||25140||17184||62657||21719|||,0.0310208797454834
2601,RFS,|2945||24581||12873||88366||1806||13022||17184||25140||62657||16924|||,0.03802895545959473
3001,BFS,|4291||3052||32108||9457||26883||20391||7709||16669||18380||19502|||,0.22215723991394043
3001,DFS,|4291||3052||11482||73916||65133||65132||33923||13573||86552||5200|||,0.09408688545227051
3001,RFS,|16454||4291||3052||32108||23587||72432||20391||16669||7709||18380|||,0.23367834091186523
3201,BFS,|11528||9015||13790||9018||23263||66520||45614||10234||52568||6435|||,0.14510345458984375
3201,DFS,|11528||11519||11994||18402||23263||6435||29113||17496||22975||17699|||,0.09907078742980957
3201,RFS,|11528||9015||23263||9018||66520||13790||32941||10234||32940||9013|||,0.1511080265045166
3401,BFS,|4895||16005||6331||6332||33609||8077||54557||11297||14977||47417|||,0.004001617431640625
3401,DFS,|4895||16005||6332||6331||33609||8077||54557||14977||11297||47417|||,0.003003358840942383
3401,RFS,|4895||16005||6331||6332||33609||8077||54557||11297||14977||47417|||,0.005002260208129883
3601,BFS,|21205||18706||43401||38273||21277||34748||56489||75575||7156||31846|||,0.10907983779907227
3601,DFS,|43401||18706||38273||21277||56489||34748||34784||72921||75575||7156|||,0.08305859565734863
3601,RFS,|21205||18706||43401||21277||56489||34748||72921||75575||7156||37180|||,0.11107707023620605
3801,BFS,|29165||69107||42919||65423||84188||61835||65424||96464||56194||70963|||,0.0670478343963623
3801,DFS,|29165||69107||65423||42919||65424||61835||84188||96464||55083||70963|||,0.07105040550231934
3801,RFS,|29165||69107||42919||65423||65424||61835||84188||96464||56194||55083|||,0.08606100082397461
4001,BFS,|18402||48725||9732||44336||29113||19333||30602||22435||31846||39629|||,0.11107254028320312
4001,DFS,|18402||43401||9732||56489||34748||44336||29113||30602||31846||39629|||,0.0840599536895752
4001,RFS,|101369||18402||48725||43401||9732||34748||29113||19333||30602||22435|||,0.12408995628356934
4201,BFS,|53660||22105||38558||34967||16669||22104||41563||21623||78385||25112|||,0.24617528915405273
4201,DFS,|104668||72921||106730||67756||67759||89363||92038||6193||6315||7927|||,0.08606171607971191
4201,RFS,|22105||83687||22104||59554||36607||78385||38183||41480||43047||72921|||,0.19013381004333496
4401,BFS,|4455||18597||18428||7823||7822||19265||51788||14902||55313||4479|||,0.0
4401,DFS,|4455||18597||18428||7823||51788||19265||7822||14902||55313||4479|||,0.0
4401,RFS,|4455||18597||18428||7823||7822||51788||19265||14902||55313||4479|||,0.0010063648223876953
4801,BFS,|6881||9457||15885||10301||5193||10302||10303||25401||19878||18695|||,0.16411232948303223
4801,DFS,|6881||9457||10301||10302||25401||123364||84320||64173||16416||90629|||,0.07004737854003906
4801,RFS,|24305||6881||21771||9457||69816||21270||10301||5193||10302||59700|||,0.18713092803955078
5001,BFS,|29165||69107||42919||65423||84188||61835||65424||96464||56194||70963|||,0.06303882598876953
5001,DFS,|29165||69107||65423||42919||65424||61835||84188||96464||55083||70963|||,0.06304311752319336
5001,RFS,|29165||69107||42919||65423||84188||61835||65424||96464||55083||70963|||,0.06304645538330078
5201,BFS,|29352||11475||9702||14325||26437||65132||65133||10209||33923||39064|||,0.16611886024475098
5201,DFS,|11482||56743||73916||65133||65132||33923||13573||6372||58587||14836|||,0.0890645980834961
5201,RFS,|43543||51364||43544||21710||29352||59844||44551||11475||9702||14325|||,0.1941368579864502
5401,BFS,|45863||37428||20506||6043||34339||77058||65311||5402||74784||87257|||,0.07104825973510742
5401,DFS,|45863||37428||20506||6043||34339||65311||77058||5402||87257||74784|||,0.07505297660827637
5401,RFS,|45863||37428||20506||6043||34339||77058||65311||5402||87257||74784|||,0.07105207443237305
5601,BFS,|36986||33892||70614||7365||7159||43010||83715||39615||70613||83714|||,0.0
5601,DFS,|36986||33892||70614||7159||7365||89191||83714||70613||39615||83715|||,0.0
5601,RFS,|36986||33892||70614||7365||7159||83715||43010||83714||70613||39615|||,0.0
5801,BFS,|14827||15644||16918||15215||14828||36429||15859||9023||16150||42326|||,0.5553932189941406
5801,DFS,|15215||21617||5644||42643||14549||8265||111044||30210||82205||90331|||,0.09907174110412598
5801,RFS,|16918||36429||9023||24267||21617||42326||44078||77634||63383||91636|||,0.353252649307251
6001,BFS,|19527||20729||16454||43659||32108||14853||22548||19244||94324||46036|||,0.3472466468811035
6001,DFS,|14853||22548||94324||46274||7397||94508||70641||26865||121354||51375|||,0.10007286071777344
6001,RFS,|16454||61665||72452||32108||82909||14853||19244||40533||59590||38273|||,0.3062162399291992
6201,BFS,|36127||29527||39309||9026||45585||45375||43572||45363||35671||57741|||,0.07505369186401367
6201,DFS,|36127||29527||39309||9026||45585||43572||45375||45363||35671||57741|||,0.0600428581237793
6201,RFS,|36127||29527||39309||9026||45585||43572||45375||45363||57741||70300|||,0.0790567398071289
6601,BFS,|46073||45484||59590||64624||64097||7710||59591||70932||21266||58372|||,0.1200861930847168
6601,DFS,|64624||84320||70932||21266||64173||60353||47631||17565||52072||65586|||,0.05804109573364258
6601,RFS,|64624||7710||21266||64173||16416||60353||47631||17565||52072||82462|||,0.10907697677612305
6801,BFS,|71111||36127||54007||16607||39309||65681||46775||71112||75359||45585|||,0.10207366943359375
6801,DFS,|71111||54007||16607||71112||46775||65681||75359||90629||95275||53486|||,0.08806300163269043
6801,RFS,|71111||36127||54007||16607||46775||39309||71112||65681||43572||90629|||,0.10007143020629883
7001,BFS,|46073||49192||8607||45484||59590||64624||64097||59591||70932||58154|||,0.1541121006011963
7001,DFS,|64624||64097||70932||133206||60353||47631||17565||52072||94825||70755|||,0.0770576000213623
7001,RFS,|46073||49192||8607||64624||45556||58154||58372||64173||60353||47631|||,0.1390993595123291
7201,BFS,|95636||7202||30630||42846||100179||34247||64370||67264||101769||90224|||,0.005002737045288086
7201,DFS,|95636||7202||30630||100179||42846||34247||67264||101769||90224||64370|||,0.005005359649658203
7201,RFS,|95636||7202||30630||100179||42846||34247||67264||64370||101769||90224|||,0.006003618240356445
7601,BFS,|15811||18558||10209||25405||37465||20188||20402||20295||16922||40706|||,0.16711878776550293
7601,DFS,|59894||10209||10633||64296||90629||111371||27278||95275||46023||36406|||,0.07405447959899902
7601,RFS,|97069||15811||59894||20188||25405||20402||40706||20295||16922||57767|||,0.14509868621826172
8001,BFS,|10130||8003||10131||12926||8002||12925||65050||14793||16035||25735|||,0.0
8001,DFS,|10130||8003||10131||8002||12926||65050||12925||149107||96771||8004|||,0.0010030269622802734
8001,RFS,|10130||8003||10131||12926||8002||65050||12925||16035||25735||14793|||,0.0
8201,BFS,|26883||59700||77480||18644||54007||89623||69994||41288||21215||80133|||,0.0740501880645752
8201,DFS,|26883||59700||54007||69994||41288||21215||37956||53729||43045||43617|||,0.07004952430725098
8201,RFS,|26883||59700||77480||18644||89623||54007||69994||41288||21215||80133|||,0.10307717323303223
8601,BFS,|9668||9669||26099||10323||56682||18558||10325||51993||25405||29527|||,0.07805538177490234
8601,DFS,|9668||9669||26099||10323||56682||18558||10325||51993||25405||29527|||,0.08505964279174805
8601,RFS,|9668||9669||26099||10323||18558||10325||25405||29527||34946||24487|||,0.09907054901123047
8801,BFS,|42986||36790||88839||88842||111371||34020||62192||95003||95166||25971|||,0.010008811950683594
8801,DFS,|42986||36790||88839||88842||111371||34020||62192||95003||95166||32534|||,0.008000612258911133
8801,RFS,|42986||36790||88839||88842||111371||34020||62192||95003||95166||25971|||,0.016015052795410156
9001,BFS,|89530||98733||104831||60582||64182||104829||110573||64185||152712||133425|||,0.000997304916381836
9001,DFS,|89530||98733||104831||60582||110573||64182||104829||152712||133425||64185|||,0.001001119613647461
9001,RFS,|89530||98733||104831||60582||64182||110573||104829||64185||152712||133425|||,0.010009527206420898
9201,BFS,|12250||11896||13812||72096||16838||31833||81452||74996||13813||94265|||,0.0019888877868652344
9201,DFS,|12250||11896||13812||72096||16838||81452||31833||13813||94265||74996|||,0.001003265380859375
9201,RFS,|12250||11896||72096||13812||16838||31833||81452||74996||13813||94265|||,0.0019991397857666016
9401,BFS,|31111||32881||45260||101756||62771||107114||101757||34032||31109||51239|||,0.003002166748046875
9401,DFS,|31111||45260||101756||32881||101757||62771||107114||51241||62130||62129|||,0.0019969940185546875
9401,RFS,|31111||32881||45260||101756||62771||107114||101757||51241||51239||31109|||,0.0030012130737304688
9601,BFS,|49192||8607||8564||8562||22607||62888||22610||58154||43633||21884|||,0.16611814498901367
9601,DFS,|8607||78876||41288||41718||37956||18853||20225||49381||65665||21748|||,0.07405281066894531
9601,RFS,|8607||8564||8562||22607||62888||42283||22610||52574||43633||64173|||,0.14510226249694824
9801,BFS,|43859||11986||22684||22683||11102||11253||22685||33884||47978||77872|||,0.0020072460174560547
9801,DFS,|43859||11986||22684||22683||11102||22685||47978||33884||110632||77872|||,0.0029969215393066406
9801,RFS,|43859||11986||22683||22684||11102||11253||22685||33884||125968||47978|||,0.0020008087158203125
10001,BFS,|49192||19602||88711||38183||43047||49858||76128||90711||62981||18015|||,0.13810014724731445
10001,DFS,|19602||43047||49858||18015||58154||43633||74246||38330||63796||49860|||,0.08105587959289551
10001,RFS,|49192||19602||88711||43047||38183||49858||90711||62981||76128||18015|||,0.12609124183654785
10201,BFS,|11937||25525||20551||66909||140034||25523||38224||31291||38225||74940|||,0.0010001659393310547
10201,DFS,|11937||25525||66909||140034||20551||38224||25523||38225||38223||97563|||,0.0
10201,RFS,|11937||25525||20551||66909||140034||38224||25523||74940||38225||31291|||,0.0009996891021728516
10801,BFS,|59844||55978||26032||90331||27506||55221||77231||70594||53647||19167|||,0.07405257225036621
10801,DFS,|59844||55978||26032||90331||27506||55221||70594||77231||53647||74686|||,0.08005714416503906
10801,RFS,|55978||26032||90331||27506||55221||70594||77231||53647||19167||74686|||,0.09506964683532715
11001,BFS,|32047||12383||92080||29624||19367||99812||85702||32044||35058||17059|||,0.028019428253173828
11001,DFS,|32047||12383||92080||29624||99812||85702||19367||35058||84737||32044|||,0.03903079032897949
11001,RFS,|32047||12383||92080||29624||19367||99812||85702||17059||35058||32044|||,0.031020164489746094
11201,BFS,|29197||25658||78523||47075||110422||47845||78521||74955||108516||55800|||,0.001998424530029297
11201,DFS,|29197||25658||78523||47075||110422||47845||78521||74955||108516||32130|||,0.0029990673065185547
11201,RFS,|29197||78523||25658||47075||110422||47845||74955||78521||108516||55800|||,0.006005525588989258
11601,BFS,|62116||17054||48094||21636||48092||82797||74968||90966||35496||101792|||,0.11408019065856934
11601,DFS,|17054||21636||59894||35496||101792||52574||40915||101794||34050||64258|||,0.10908007621765137
11601,RFS,|62116||17054||48094||21636||48092||74968||82797||90966||35496||48091|||,0.16611576080322266
11801,BFS,|8381||11519||11994||11995||44042||16908||34190||62415||97433||43953|||,0.015011072158813477
11801,DFS,|8381||11519||11994||11995||97433||62415||34190||44042||16908||106790|||,0.014008522033691406
11801,RFS,|8381||11519||11994||11995||44042||97433||34190||62415||16908||106790|||,0.017013072967529297
12001,BFS,|27379||27380||47839||90118||46814||39890||30202||61083||81575||86524|||,0.0009999275207519531
12001,DFS,|27379||46814||47839||27380||90118||61462||71313||86524||86047||39890|||,0.002001523971557617
12001,RFS,|27379||27380||47839||90118||46814||39890||30202||61083||81575||86524|||,0.0020012855529785156
12201,BFS,|45556||89146||32752||93738||70755||129565||57905||78986||14214||16424|||,0.04903459548950195
12201,DFS,|45556||89146||32752||93738||70755||129565||78986||57905||16424||107294|||,0.07805538177490234
12201,RFS,|45556||89146||32752||93738||70755||129565||57905||78986||14214||16424|||,0.05804157257080078
12401,BFS,|26883||18656||66987||42116||29182||71347||25504||25112||22750||56761|||,0.1771233081817627
12401,DFS,|18656||68891||22750||118871||122043||96136||18657||70755||98227||27385|||,0.07705378532409668
12401,RFS,|43543||26883||18656||29182||45614||25504||25112||68891||22750||118871|||,0.14910626411437988
12601,BFS,|59700||20295||40706||41288||49148||41718||37956||12602||12603||58088|||,0.06104278564453125
12601,DFS,|59700||20295||40706||41288||49148||41718||37956||12603||65665||43045|||,0.07105040550231934
12601,RFS,|59700||20295||40706||41288||41718||49148||37956||12603||12602||36314|||,0.06404519081115723
12801,BFS,|34977||120426||40979||69711||127415||128521||105664||120040||120041||19362|||,0.0
12801,DFS,|34977||69711||105664||120040||120041||40979||128521||127415||120426||70498|||,0.0
12801,RFS,|34977||40979||120426||69711||105664||127415||128521||120040||120041||19362|||,0.0
13401,BFS,|74039||14519||53890||74708||70173||65405||71512||74457||76265||22529|||,0.021015644073486328
13401,DFS,|74039||14519||53890||74708||70173||65405||71512||74457||22529||57968|||,0.028022050857543945
13401,RFS,|74039||14519||53890||74708||70173||65405||71512||74457||76265||22529|||,0.03002023696899414
13601,BFS,|37428||20506||77058||74784||87257||37429||89480||13838||20404||80244|||,0.010006427764892578
13601,DFS,|37428||20506||77058||74784||87257||37429||89480||13838||80244||20404|||,0.012008428573608398
13601,RFS,|37428||20506||77058||74784||87257||37429||89480||13838||20404||80244|||,0.011009454727172852
13801,BFS,|20390||47032||54335||73916||133206||86552||44342||54336||42406||65510|||,0.10407185554504395
13801,DFS,|20390||47032||54335||73916||86552||54336||44342||65510||42406||104842|||,0.10407423973083496
13801,RFS,|20390||47032||54335||73916||44342||54336||42406||65510||46019||78018|||,0.14410138130187988
14201,BFS,|45614||41348||112498||72928||45613||83610||48001||45500||45501||83923|||,0.010007381439208984
14201,DFS,|45614||41348||112498||72928||45613||48001||83610||110641||83923||45501|||,0.008007287979125977
14201,RFS,|45614||41348||112498||72928||45613||83610||48001||83923||45500||110641|||,0.0070037841796875
14401,BFS,|73523||57552||82830||117464||82831||41181||134608||82828||82829||41182|||,0.0
14401,DFS,|73523||117464||82830||57552||82831||41181||82829||82828||134608||41182|||,0.0
14401,RFS,|73523||57552||82830||117464||82831||41181||82828||134608||82829||41182|||,0.001001119613647461
15201,BFS,|54241||34748||53143||74039||66295||26886||53890||113814||111790||15560|||,0.09306669235229492
15201,DFS,|54241||53143||74039||26886||111790||113814||53890||15560||48869||50255|||,0.07104897499084473
15201,RFS,|54241||34748||53143||74039||66295||26886||113814||53890||111790||15560|||,0.07705426216125488
15601,BFS,|77427||84083||105560||77152||129278||84572||71247||133202||102677||104453|||,0.05103588104248047
15601,DFS,|77427||84083||105560||77152||129278||84572||71247||102677||104453||133202|||,0.03902912139892578
15601,RFS,|77427||84083||105560||77152||129278||84572||71247||133202||104453||102677|||,0.04102683067321777
15801,BFS,|27233||114684||23541||46601||46834||46602||19928||15803||32803||46787|||,0.009003639221191406
